,user_a,user_b
0,bạn tên gì?,Mình tên Trường <eos> còn bạn tên gì? 
1,Tui tên Nam <eos> Bạn học ở đâu?,tui học ở TDTU nè <eos> còn bạn học ở trường nào ?
2,tui học ở TDTU luôn <eos> Bạn học ngành gì,mình học Công Nghệ Thông Tin
3,Chuyên ngành gì vậy bạn ?,mình học bên Kỹ Thuật Phần Mềm á <eos> còn bạn học ngành gì ?
4,mình học Quản Trị Kinh Doanh <eos> Bạn là người ở đâu vậy ?,Mình là người Đồng tháp <eos> bạn biết Đồng Tháp không ?
5,"Mình biết, Đồng Tháp dưới miền Tây đúng không ?",Đúng rồi đó
6,"còn mình ở TPHCM luôn nè, mình ở Quận 4 <eos> cuối tuần này bạn có rãnh không ?","cuối tuần này mình rãnh, có chi không bạn ?"
7,mình tính cuối tuần này rủ bạn đi coffee nè,"ok, được thôi bạn, mà đi quán nào á ?"
8,đi Phúc Long đối diện trường mình nè,Oh vậy mình đi 9h sáng nha
9,"được luôn bạn, sáng mình cũng rãnh <eos> bạn thích ngôn ngữ lập trình nào nhất ?",mình hay code JS nhất nè <eos> bạn thích ngôn ngữ lập trình nào nhất ?
10,"mình thích code Python nhất, tại vì nó ngắn gọn",sao bạn thích JS vậy ?
11,"vì JS bây giờ phổ biến, code fontEnd hay backEnd đều được",mình cũng hay code fontEnd sài ReactJS nè
12,còn mình hay sài VueJS <eos> bạn có biết thầy Cường bên khoa mình không ?,"oh, mình có học thầy Cường, thầy đó khá hiền hòa và giảng dạy rất có tâm"
13,mình học thầy Cường môn ML với NLP nè <eos> sở thích của bạn là gì vậy ?,"mình hay đọc sách, thi thoảng thì chơi game <eos> sở thích của bạn là gì vậy ?"
14,mình hay chơi thể thao nhất,ra trường xong bạn muốn làm gì ?
15,"mình muốn làm dev, cụ thể là frontEnd <eos> còn bạn, bạn muốn làm gì sau khi ra trường ?","mình chắc đi theo BA, vì mình mạnh bên phân tích yêu cầu"
16,bạn hay nghe nhạc của ai vậy ?,"mình hay nghe nhạc của KeShi á <eos> còn bạn, bạn thích nghe nhạc của ai ?"
17,mình hay nghe nhạc của The Keeknd <eos> Đôi lúc tui còn hay nghe rap,bạn hay nghe rapper nào ?
18,"mình nghe nhiều lắm, chẳng hạn như lil Peep, savage 21 nè","còn mình hay nghe rap của MCK, Đen"
19,bạn học đủ chỉ trên trường chưa ?,"chưa bạn, mình còn khoảng 10 chỉ nữa để làm đồ án tốt nghiệp <eos> bạn học đủ chỉ trên trường chưa ?"
